PhraseId	SentenceId	Phrase	Sentiment
1	1	A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .	1
2	1	A series of escapades demonstrating the adage that what is good for the goose	2
3	1	A series	2
4	1	A	2
5	1	series	2
6	1	of escapades demonstrating the adage that what is good for the goose	2
7	1	of	2
8	1	escapades demonstrating the adage that what is good for the goose	2
9	1	escapades	2
10	1	demonstrating the adage that what is good for the goose	2
11	1	demonstrating the adage	2
12	1	demonstrating	2
13	1	the adage	2
14	1	the	2
15	1	adage	2
16	1	that what is good for the goose	2
17	1	that	2
18	1	what is good for the goose	2
19	1	what	2
20	1	is good for the goose	2
21	1	is	2
22	1	good for the goose	3
23	1	good	3
24	1	for the goose	2
25	1	for	2
26	1	the goose	2
27	1	goose	2
28	1	is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .	2
29	1	is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story	2
30	1	is also	2
31	1	also	2
32	1	good for the gander , some of which occasionally amuses but none of which amounts to much of a story	2
33	1	for the gander , some of which occasionally amuses but none of which amounts to much of a story	2
34	1	the gander , some of which occasionally amuses but none of which amounts to much of a story	1
35	1	the gander ,	2
36	1	the gander	2
37	1	gander	2
38	1	,	2
39	1	some of which occasionally amuses but none of which amounts to much of a story	2
40	1	some of which	2
41	1	some	2
42	1	of which	2
43	1	which	2
44	1	occasionally amuses but none of which amounts to much of a story	2
45	1	occasionally	2
46	1	amuses but none of which amounts to much of a story	2
47	1	amuses	3
48	1	but none of which amounts to much of a story	1
49	1	but	2
50	1	none of which amounts to much of a story	1
51	1	none	2
52	1	of which amounts to much of a story	2
53	1	which amounts to much of a story	2
54	1	amounts to much of a story	2
55	1	amounts	2
56	1	to much of a story	2
57	1	to	2
58	1	much of a story	2
59	1	much	2
60	1	of a story	2
61	1	a story	2
62	1	story	2
63	1	.	2
64	2	This quiet , introspective and entertaining independent is worth seeking .	4
65	2	This quiet , introspective and entertaining independent	3
66	2	This	2
67	2	quiet , introspective and entertaining independent	4
68	2	quiet , introspective and entertaining	3
69	2	quiet	2
70	2	, introspective and entertaining	3
71	2	introspective and entertaining	3
72	2	introspective and	3
73	2	introspective	2
74	2	and	2
75	2	entertaining	4
76	2	independent	2
77	2	is worth seeking .	3
78	2	is worth seeking	4
79	2	is worth	2
80	2	worth	2
81	2	seeking	2
82	3	Even fans of Ismail Merchant 's work , I suspect , would have a hard time sitting through this one .	1
83	3	Even fans of Ismail Merchant 's work	2
84	3	Even fans	2
85	3	Even	2
86	3	fans	3
87	3	of Ismail Merchant 's work	2
88	3	Ismail Merchant 's work	2
89	3	Ismail Merchant 's	2
90	3	Ismail	2
91	3	Merchant 's	2
92	3	Merchant	2
93	3	's	2
94	3	work	2
95	3	, I suspect , would have a hard time sitting through this one .	1
96	3	, I suspect ,	2
97	3	I suspect ,	2
98	3	I suspect	2
99	3	I	2
100	3	suspect	2
101	3	would have a hard time sitting through this one .	1
102	3	would have a hard time sitting through this one	0
103	3	would	2
104	3	have a hard time sitting through this one	0
105	3	have	2
106	3	a hard time sitting through this one	1
107	3	a hard time	1
108	3	hard time	1
109	3	hard	2
110	3	time	2
111	3	sitting through this one	1
112	3	sitting	2
113	3	through this one	2
114	3	through	2
115	3	this one	2
116	3	one	2
117	4	A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera .	3
118	4	A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder of a Shakespearean tragedy or a juicy soap opera	4
119	4	A positively thrilling combination of ethnography and all the intrigue , betrayal , deceit and murder	4
120	4	A positively thrilling combination	3
121	4	positively thrilling combination	3
122	4	positively	3
123	4	thrilling combination	3
124	4	thrilling	4
125	4	combination	2
126	4	of ethnography and all the intrigue , betrayal , deceit and murder	2
127	4	ethnography and all the intrigue , betrayal , deceit and murder	2
128	4	ethnography and	2
129	4	ethnography	2
130	4	all the intrigue , betrayal , deceit and murder	2
131	4	all	2
