,phrase,sentence_id,sentiment,length,word_list,word_counter,num_unique_words,guess,guess-sentiment
0,"-LRB- A -RRB- boldly stroked , luridly coloured , uni-dimensional nonsense machine that strokes the eyeballs while it evaporates like so much crypt mist in the brain .",2865,3,167,"['lrb', 'rrb', 'boldly', 'stroked', 'luridly', 'coloured', 'unidimensional', 'nonsense', 'machine', 'that', 'strokes', 'the', 'eyeballs', 'while', 'evaporates', 'like', 'much', 'crypt', 'mist', 'the', 'brain']","Counter({'the': 2, 'while': 1, 'lrb': 1, 'nonsense': 1, 'like': 1, 'that': 1, 'strokes': 1, 'crypt': 1, 'evaporates': 1, 'rrb': 1, 'coloured': 1, 'machine': 1, 'brain': 1, 'boldly': 1, 'much': 1, 'eyeballs': 1, 'luridly': 1, 'mist': 1, 'unidimensional': 1, 'stroked': 1})",20,2.0,-1.0
1,"Some of the visual flourishes are a little too obvious , but restrained and subtle storytelling , and fine performances make this delicate coming-of-age tale a treat .",7376,4,167,"['some', 'the', 'visual', 'flourishes', 'are', 'little', 'too', 'obvious', 'but', 'restrained', 'and', 'subtle', 'storytelling', 'and', 'fine', 'performances', 'make', 'this', 'delicate', 'comingofage', 'tale', 'treat']","Counter({'and': 2, 'little': 1, 'treat': 1, 'storytelling': 1, 'this': 1, 'performances': 1, 'make': 1, 'delicate': 1, 'some': 1, 'visual': 1, 'but': 1, 'tale': 1, 'comingofage': 1, 'flourishes': 1, 'obvious': 1, 'are': 1, 'subtle': 1, 'the': 1, 'fine': 1, 'restrained': 1, 'too': 1})",21,4.0,0.0
2,"Boasting some of the most poorly staged and lit action in memory , Impostor is as close as you can get to an imitation movie .",6640,3,126,"['boasting', 'some', 'the', 'most', 'poorly', 'staged', 'and', 'lit', 'action', 'memory', 'impostor', 'close', 'you', 'can', 'get', 'imitation', 'movie']","Counter({'and': 1, 'movie': 1, 'boasting': 1, 'get': 1, 'imitation': 1, 'some': 1, 'impostor': 1, 'staged': 1, 'lit': 1, 'most': 1, 'can': 1, 'memory': 1, 'action': 1, 'close': 1, 'the': 1, 'you': 1, 'poorly': 1})",17,3.0,0.0
3,The movie weighs no more than a glass of flat champagne .,3127,2,57,"['the', 'movie', 'weighs', 'more', 'than', 'glass', 'flat', 'champagne']","Counter({'weighs': 1, 'flat': 1, 'movie': 1, 'glass': 1, 'the': 1, 'champagne': 1, 'than': 1, 'more': 1})",8,2.0,0.0
4,Spare yet audacious ...,1358,2,23,"['spare', 'yet', 'audacious']","Counter({'audacious': 1, 'spare': 1, 'yet': 1})",3,4.0,2.0
5,"Any film that does n't even in passing mention political prisoners , poverty and the boat loads of people who try to escape the country is less a documentary and more propaganda by way of a valentine sealed with a kiss .",4667,3,220,"['any', 'film', 'that', 'does', 'even', 'passing', 'mention', 'political', 'prisoners', 'poverty', 'and', 'the', 'boat', 'loads', 'people', 'who', 'try', 'escape', 'the', 'country', 'less', 'documentary', 'and', 'more', 'propaganda', 'way', 'valentine', 'sealed', 'with', 'kiss']","Counter({'and': 2, 'the': 2, 'people': 1, 'prisoners': 1, 'valentine': 1, 'escape': 1, 'any': 1, 'boat': 1, 'even': 1, 'less': 1, 'political': 1, 'does': 1, 'film': 1, 'way': 1, 'passing': 1, 'more': 1, 'sealed': 1, 'that': 1, 'who': 1, 'mention': 1, 'poverty': 1, 'kiss': 1, 'with': 1, 'country': 1, 'try': 1, 'loads': 1, 'documentary': 1, 'propaganda': 1})",28,3.0,0.0
6,There 's no energy .,2976,1,20,"['there', 'energy']","Counter({'energy': 1, 'there': 1})",2,3.0,2.0
7,Often hilarious .,1710,3,17,"['often', 'hilarious']","Counter({'often': 1, 'hilarious': 1})",2,4.0,1.0
8,"Although Barbershop boasts some of today 's hottest and hippest acts from the world of television , music and stand-up comedy , this movie strangely enough has the outdated swagger of a shameless ` 70s blaxploitation shuck-and-jive sitcom .",2076,4,240,"['although', 'barbershop', 'boasts', 'some', 'today', 'hottest', 'and', 'hippest', 'acts', 'from', 'the', 'world', 'television', 'music', 'and', 'standup', 'comedy', 'this', 'movie', 'strangely', 'enough', 'has', 'the', 'outdated', 'swagger', 'shameless', '70s', 'blaxploitation', 'shuckandjive', 'sitcom']","Counter({'and': 2, 'the': 2, 'some': 1, 'shuckandjive': 1, 'boasts': 1, 'strangely': 1, 'from': 1, 'movie': 1, 'acts': 1, 'enough': 1, 'music': 1, 'blaxploitation': 1, 'swagger': 1, 'hottest': 1, 'has': 1, 'today': 1, '70s': 1, 'although': 1, 'standup': 1, 'world': 1, 'outdated': 1, 'shameless': 1, 'television': 1, 'comedy': 1, 'this': 1, 'sitcom': 1, 'barbershop': 1, 'hippest': 1})",28,4.0,0.0
9,The most compelling performance of the year adds substantial depth to this shocking testament to anti-Semitism and neo-fascism .,3417,4,128,"['the', 'most', 'compelling', 'performance', 'the', 'year', 'adds', 'substantial', 'depth', 'this', 'shocking', 'testament', 'antisemitism', 'and', 'neofascism']","Counter({'the': 2, 'and': 1, 'adds': 1, 'this': 1, 'neofascism': 1, 'most': 1, 'depth': 1, 'substantial': 1, 'compelling': 1, 'year': 1, 'testament': 1, 'performance': 1, 'antisemitism': 1, 'shocking': 1})",14,4.0,0.0
10,"While most films these days are about nothing , this film seems to be about everything that 's plaguing the human spirit in a relentlessly globalizing world .",8362,3,158,"['while', 'most', 'films', 'these', 'days', 'are', 'about', 'nothing', 'this', 'film', 'seems', 'about', 'everything', 'that', 'plaguing', 'the', 'human', 'spirit', 'relentlessly', 'globalizing', 'world']","Counter({'about': 2, 'this': 1, 'globalizing': 1, 'everything': 1, 'these': 1, 'that': 1, 'seems': 1, 'days': 1, 'relentlessly': 1, 'most': 1, 'while': 1, 'plaguing': 1, 'nothing': 1, 'are': 1, 'human': 1, 'films': 1, 'world': 1, 'the': 1, 'spirit': 1, 'film': 1})",20,4.0,1.0
11,It 's hard to fairly judge a film like RINGU when you 've seen the remake first .,1925,2,81,"['hard', 'fairly', 'judge', 'film', 'like', 'ringu', 'when', 'you', 'seen', 'the', 'remake', 'first']","Counter({'fairly': 1, 'like': 1, 'ringu': 1, 'hard': 1, 'when': 1, 'remake': 1, 'judge': 1, 'seen': 1, 'you': 1, 'the': 1, 'film': 1, 'first': 1})",12,3.0,1.0
12,"An often watchable , though goofy and lurid , blast of a costume drama set in the late 15th century .",4418,3,101,"['often', 'watchable', 'though', 'goofy', 'and', 'lurid', 'blast', 'costume', 'drama', 'set', 'the', 'late', '15th', 'century']","Counter({'and': 1, 'late': 1, 'set': 1, 'often': 1, 'though': 1, 'century': 1, 'drama': 1, 'goofy': 1, 'watchable': 1, 'costume': 1, 'the': 1, 'blast': 1, '15th': 1, 'lurid': 1})",14,3.0,0.0
13,A small independent film suffering from a severe case of Hollywood-itis .,4262,2,73,"['small', 'independent', 'film', 'suffering', 'from', 'severe', 'case', 'hollywooditis']","Counter({'case': 1, 'independent': 1, 'from': 1, 'severe': 1, 'hollywooditis': 1, 'suffering': 1, 'small': 1, 'film': 1})",8,4.0,2.0
14,"One of recent memory 's most thoughtful films about art , ethics , and the cost of moral compromise .",107,4,101,"['one', 'recent', 'memory', 'most', 'thoughtful', 'films', 'about', 'art', 'ethics', 'and', 'the', 'cost', 'moral', 'compromise']","Counter({'and': 1, 'about': 1, 'art': 1, 'one': 1, 'most': 1, 'thoughtful': 1, 'cost': 1, 'moral': 1, 'memory': 1, 'films': 1, 'compromise': 1, 'ethics': 1, 'the': 1, 'recent': 1})",14,4.0,0.0
