,phrase,sentence_id,sentiment,length,word_list,word_counter,num_unique_words,unique_word_density,guess,guess-sentiment
0,"Alternately hilarious and sad , aggravating and soulful , scathing and joyous .",5430,4,79,"['alternately', 'hilarious', 'and', 'sad', 'aggravating', 'and', 'soulful', 'scathing', 'and', 'joyous']","Counter({'and': 3, 'scathing': 1, 'joyous': 1, 'alternately': 1, 'soulful': 1, 'sad': 1, 'hilarious': 1, 'aggravating': 1})",8,0,4.0,0.0
1,The dialogue is very choppy and monosyllabic despite the fact that it is being dubbed .,6791,2,87,"['the', 'dialogue', 'very', 'choppy', 'and', 'monosyllabic', 'despite', 'the', 'fact', 'that', 'being', 'dubbed']","Counter({'the': 2, 'and': 1, 'dialogue': 1, 'that': 1, 'very': 1, 'dubbed': 1, 'being': 1, 'despite': 1, 'choppy': 1, 'monosyllabic': 1, 'fact': 1})",11,0,3.0,1.0
2,there is truth here,1301,3,19,"['there', 'truth', 'here']","Counter({'there': 1, 'here': 1, 'truth': 1})",3,1,3.0,0.0
3,Was I scared ?,2350,2,14,"['was', 'scared', '?']","Counter({'scared': 1, 'was': 1, '?': 1})",3,1,2.0,0.0
4,The powder blues and sun-splashed whites of Tunis make an alluring backdrop for this sensuous and spirited tale of a prim widow who finds an unlikely release in belly-dancing clubs .,6540,4,182,"['the', 'powder', 'blues', 'and', 'sunsplashed', 'whites', 'tunis', 'make', 'alluring', 'backdrop', 'for', 'this', 'sensuous', 'and', 'spirited', 'tale', 'prim', 'widow', 'who', 'finds', 'unlikely', 'release', 'bellydancing', 'clubs']","Counter({'and': 2, 'alluring': 1, 'prim': 1, 'sunsplashed': 1, 'whites': 1, 'clubs': 1, 'powder': 1, 'blues': 1, 'tale': 1, 'for': 1, 'make': 1, 'bellydancing': 1, 'who': 1, 'sensuous': 1, 'this': 1, 'spirited': 1, 'tunis': 1, 'release': 1, 'the': 1, 'widow': 1, 'finds': 1, 'backdrop': 1, 'unlikely': 1})",23,0,4.0,0.0
5,"The film becomes an overwhelming pleasure , and you find yourself rooting for Gai 's character to avoid the fate that has befallen every other Carmen before her .",7899,4,162,"['the', 'film', 'becomes', 'overwhelming', 'pleasure', 'and', 'you', 'find', 'yourself', 'rooting', 'for', 'gai', 'character', 'avoid', 'the', 'fate', 'that', 'has', 'befallen', 'every', 'other', 'carmen', 'before', 'her']","Counter({'the': 2, 'and': 1, 'yourself': 1, 'find': 1, 'film': 1, 'before': 1, 'for': 1, 'rooting': 1, 'avoid': 1, 'character': 1, 'befallen': 1, 'other': 1, 'you': 1, 'has': 1, 'fate': 1, 'that': 1, 'becomes': 1, 'every': 1, 'gai': 1, 'overwhelming': 1, 'her': 1, 'pleasure': 1, 'carmen': 1})",23,0,3.0,-1.0
6,Knows how to make our imagination wonder .,3598,4,42,"['knows', 'how', 'make', 'our', 'imagination', 'wonder']","Counter({'knows': 1, 'how': 1, 'make': 1, 'imagination': 1, 'our': 1, 'wonder': 1})",6,1,4.0,0.0
7,"While the path may be familiar , first-time director Denzel Washington and a top-notch cast manage to keep things interesting .",1305,4,127,"['while', 'the', 'path', 'may', 'familiar', 'firsttime', 'director', 'denzel', 'washington', 'and', 'topnotch', 'cast', 'manage', 'keep', 'things', 'interesting']","Counter({'and': 1, 'firsttime': 1, 'interesting': 1, 'may': 1, 'familiar': 1, 'manage': 1, 'washington': 1, 'topnotch': 1, 'keep': 1, 'director': 1, 'cast': 1, 'while': 1, 'denzel': 1, 'things': 1, 'path': 1, 'the': 1})",16,1,4.0,0.0
8,and `` They 're coming ! '',3606,2,27,"['and', 'they', 'coming', '!']","Counter({'and': 1, '!': 1, 'they': 1, 'coming': 1})",4,1,3.0,1.0
9,"With Rare Birds , as with The Shipping News before it , an attempt is made to transplant a Hollywood star into Newfoundland 's wild soil -- and The Rock once again resists the intrusion .",4382,3,187,"['with', 'rare', 'birds', 'with', 'the', 'shipping', 'news', 'before', 'attempt', 'made', 'transplant', 'hollywood', 'star', 'into', 'newfoundland', 'wild', 'soil', 'and', 'the', 'rock', 'once', 'again', 'resists', 'the', 'intrusion']","Counter({'the': 3, 'with': 2, 'and': 1, 'soil': 1, 'into': 1, 'news': 1, 'birds': 1, 'transplant': 1, 'again': 1, 'resists': 1, 'hollywood': 1, 'before': 1, 'star': 1, 'attempt': 1, 'made': 1, 'rare': 1, 'intrusion': 1, 'shipping': 1, 'rock': 1, 'wild': 1, 'newfoundland': 1, 'once': 1})",22,0,4.0,1.0
