,phrase,sentence_id,length,word_list,word_counter,num_unique_words
0,An intermittently pleasing but mostly routine effort .,8545,54,"['intermittently', 'pleasing', 'but', 'mostly', 'routine', 'effort']","Counter({'mostly': 1, 'but': 1, 'intermittently': 1, 'routine': 1, 'pleasing': 1, 'effort': 1})",6
1,"Kidman is really the only thing that 's worth watching in Birthday Girl , a film by the stage-trained Jez Butterworth -LRB- Mojo -RRB- that serves as yet another example of the sad decline of British comedies in the post-Full Monty world .",8546,239,"['kidman', 'really', 'the', 'only', 'thing', 'that', 'worth', 'watching', 'birthday', 'girl', 'film', 'the', 'stagetrained', 'jez', 'butterworth', 'lrb', 'mojo', 'rrb', 'that', 'serves', 'yet', 'another', 'example', 'the', 'sad', 'decline', 'british', 'comedies', 'the', 'postfull', 'monty', 'world']","Counter({'the': 4, 'that': 2, 'comedies': 1, 'rrb': 1, 'sad': 1, 'british': 1, 'another': 1, 'girl': 1, 'mojo': 1, 'film': 1, 'really': 1, 'decline': 1, 'jez': 1, 'postfull': 1, 'stagetrained': 1, 'yet': 1, 'only': 1, 'monty': 1, 'kidman': 1, 'watching': 1, 'worth': 1, 'lrb': 1, 'birthday': 1, 'world': 1, 'butterworth': 1, 'serves': 1, 'thing': 1, 'example': 1})",28
2,Once you get into its rhythm ... the movie becomes a heady experience .,8547,71,"['once', 'you', 'get', 'into', 'its', 'rhythm', 'the', 'movie', 'becomes', 'heady', 'experience']","Counter({'the': 1, 'get': 1, 'movie': 1, 'into': 1, 'heady': 1, 'experience': 1, 'rhythm': 1, 'becomes': 1, 'you': 1, 'its': 1, 'once': 1})",11
3,I kept wishing I was watching a documentary about the wartime Navajos and what they accomplished instead of all this specious Hollywood hoo-ha .,8548,144,"['kept', 'wishing', 'was', 'watching', 'documentary', 'about', 'the', 'wartime', 'navajos', 'and', 'what', 'they', 'accomplished', 'instead', 'all', 'this', 'specious', 'hollywood', 'hooha']","Counter({'and': 1, 'about': 1, 'navajos': 1, 'kept': 1, 'all': 1, 'hooha': 1, 'watching': 1, 'this': 1, 'was': 1, 'wishing': 1, 'what': 1, 'wartime': 1, 'specious': 1, 'accomplished': 1, 'they': 1, 'instead': 1, 'the': 1, 'documentary': 1, 'hollywood': 1})",19
4,"Kinnear does n't aim for our sympathy , but rather delivers a performance of striking skill and depth .",8549,103,"['kinnear', 'does', 'aim', 'for', 'our', 'sympathy', 'but', 'rather', 'delivers', 'performance', 'striking', 'skill', 'and', 'depth']","Counter({'and': 1, 'for': 1, 'striking': 1, 'rather': 1, 'but': 1, 'aim': 1, 'sympathy': 1, 'depth': 1, 'kinnear': 1, 'does': 1, 'performance': 1, 'our': 1, 'delivers': 1, 'skill': 1})",14
5,"All ends well , sort of , but the frenzied comic moments never click .",8550,70,"['all', 'ends', 'well', 'sort', 'but', 'the', 'frenzied', 'comic', 'moments', 'never', 'click']","Counter({'sort': 1, 'all': 1, 'frenzied': 1, 'moments': 1, 'never': 1, 'well': 1, 'ends': 1, 'but': 1, 'click': 1, 'the': 1, 'comic': 1})",11
6,"It 's a hoot and a half , and a great way for the American people to see what a candidate is like when he 's not giving the same 15-cent stump speech .",8551,151,"['hoot', 'and', 'half', 'and', 'great', 'way', 'for', 'the', 'american', 'people', 'see', 'what', 'candidate', 'like', 'when', 'not', 'giving', 'the', 'same', '15cent', 'stump', 'speech']","Counter({'and': 2, 'the': 2, 'great': 1, '15cent': 1, 'stump': 1, 'candidate': 1, 'for': 1, 'people': 1, 'giving': 1, 'when': 1, 'see': 1, 'hoot': 1, 'american': 1, 'speech': 1, 'same': 1, 'way': 1, 'half': 1, 'not': 1, 'what': 1, 'like': 1})",20
7,"The weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough .",8552,159,"['the', 'weight', 'the', 'piece', 'the', 'unerring', 'professionalism', 'the', 'chilly', 'production', 'and', 'the', 'fascination', 'embedded', 'the', 'lurid', 'topic', 'prove', 'recommendation', 'enough']","Counter({'the': 6, 'and': 1, 'weight': 1, 'unerring': 1, 'chilly': 1, 'fascination': 1, 'prove': 1, 'topic': 1, 'professionalism': 1, 'enough': 1, 'production': 1, 'embedded': 1, 'recommendation': 1, 'piece': 1, 'lurid': 1})",15
8,"The film contains no good jokes , no good scenes , barely a moment when Carvey 's Saturday Night Live-honed mimicry rises above the level of embarrassment .",8553,156,"['the', 'film', 'contains', 'good', 'jokes', 'good', 'scenes', 'barely', 'moment', 'when', 'carvey', 'saturday', 'night', 'livehoned', 'mimicry', 'rises', 'above', 'the', 'level', 'embarrassment']","Counter({'good': 2, 'the': 2, 'night': 1, 'rises': 1, 'level': 1, 'carvey': 1, 'mimicry': 1, 'embarrassment': 1, 'contains': 1, 'when': 1, 'scenes': 1, 'jokes': 1, 'moment': 1, 'above': 1, 'barely': 1, 'livehoned': 1, 'saturday': 1, 'film': 1})",18
9,"An offbeat , sometimes gross and surprisingly appealing animated film about the true meaning of the holidays .",8554,110,"['offbeat', 'sometimes', 'gross', 'and', 'surprisingly', 'appealing', 'animated', 'film', 'about', 'the', 'true', 'meaning', 'the', 'holidays']","Counter({'the': 2, 'and': 1, 'gross': 1, 'about': 1, 'sometimes': 1, 'surprisingly': 1, 'holidays': 1, 'offbeat': 1, 'appealing': 1, 'meaning': 1, 'animated': 1, 'true': 1, 'film': 1})",13
10,"It suggests the wide-ranging effects of media manipulation , from the kind of reporting that is done by the supposedly liberal media ... to the intimate and ultimately tragic heartache of maverick individuals like Hatfield and Hicks .",8555,234,"['suggests', 'the', 'wideranging', 'effects', 'media', 'manipulation', 'from', 'the', 'kind', 'reporting', 'that', 'done', 'the', 'supposedly', 'liberal', 'media', 'the', 'intimate', 'and', 'ultimately', 'tragic', 'heartache', 'maverick', 'individuals', 'like', 'hatfield', 'and', 'hicks']","Counter({'the': 4, 'and': 2, 'media': 2, 'liberal': 1, 'wideranging': 1, 'hatfield': 1, 'done': 1, 'heartache': 1, 'supposedly': 1, 'from': 1, 'intimate': 1, 'tragic': 1, 'maverick': 1, 'that': 1, 'reporting': 1, 'ultimately': 1, 'effects': 1, 'manipulation': 1, 'kind': 1, 'like': 1, 'hicks': 1, 'suggests': 1, 'individuals': 1})",23
11,"As Tweedy talks about canning his stockbroker and repairing his pool , you yearn for a few airborne TV sets or nude groupies on the nod to liven things up .",8556,156,"['tweedy', 'talks', 'about', 'canning', 'his', 'stockbroker', 'and', 'repairing', 'his', 'pool', 'you', 'yearn', 'for', 'few', 'airborne', 'sets', 'nude', 'groupies', 'the', 'nod', 'liven', 'things']","Counter({'his': 2, 'and': 1, 'repairing': 1, 'tweedy': 1, 'for': 1, 'things': 1, 'nod': 1, 'liven': 1, 'nude': 1, 'about': 1, 'airborne': 1, 'the': 1, 'few': 1, 'yearn': 1, 'groupies': 1, 'sets': 1, 'talks': 1, 'stockbroker': 1, 'canning': 1, 'you': 1, 'pool': 1})",21
12,"For all its failed connections , Divine Secrets of the Ya-Ya Sisterhood is nurturing , in a gauzy , dithering way .",8557,115,"['for', 'all', 'its', 'failed', 'connections', 'divine', 'secrets', 'the', 'yaya', 'sisterhood', 'nurturing', 'gauzy', 'dithering', 'way']","Counter({'yaya': 1, 'all': 1, 'for': 1, 'secrets': 1, 'dithering': 1, 'connections': 1, 'failed': 1, 'way': 1, 'nurturing': 1, 'the': 1, 'divine': 1, 'sisterhood': 1, 'its': 1, 'gauzy': 1})",14
13,It would be hard to think of a recent movie that has worked this hard to achieve this little fun .,8558,98,"['would', 'hard', 'think', 'recent', 'movie', 'that', 'has', 'worked', 'this', 'hard', 'achieve', 'this', 'little', 'fun']","Counter({'this': 2, 'hard': 2, 'little': 1, 'would': 1, 'that': 1, 'movie': 1, 'fun': 1, 'worked': 1, 'has': 1, 'think': 1, 'achieve': 1, 'recent': 1})",12
14,The story and structure are well-honed .,8559,40,"['the', 'story', 'and', 'structure', 'are', 'wellhoned']","Counter({'and': 1, 'story': 1, 'are': 1, 'wellhoned': 1, 'the': 1, 'structure': 1})",6
15,"Chilling but uncommercial look into the mind of Jeffrey Dahmer , serial killer .",8560,80,"['chilling', 'but', 'uncommercial', 'look', 'into', 'the', 'mind', 'jeffrey', 'dahmer', 'serial', 'killer']","Counter({'jeffrey': 1, 'look': 1, 'uncommercial': 1, 'into': 1, 'killer': 1, 'mind': 1, 'but': 1, 'the': 1, 'dahmer': 1, 'serial': 1, 'chilling': 1})",11
16,... the movie is just a plain old monster .,8561,43,"['the', 'movie', 'just', 'plain', 'old', 'monster']","Counter({'old': 1, 'monster': 1, 'just': 1, 'movie': 1, 'plain': 1, 'the': 1})",6
17,This film 's relationship to actual tension is the same as what Christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .,8562,158,"['this', 'film', 'relationship', 'actual', 'tension', 'the', 'same', 'what', 'christmastree', 'flocking', 'spray', 'can', 'actual', 'snow', 'poor', 'durable', 'imitation']","Counter({'actual': 2, 'poor': 1, 'tension': 1, 'what': 1, 'relationship': 1, 'this': 1, 'durable': 1, 'snow': 1, 'same': 1, 'spray': 1, 'can': 1, 'flocking': 1, 'christmastree': 1, 'the': 1, 'film': 1, 'imitation': 1})",16
